Title,Director,Cast,Country,Release_year,Start,End
Girl Meets Boy,Raúl Martínez,"Camila Sodi, Sebastián Zurita, Ianis Guerrero, Paulette Hernández, Aurora Papile",Mexico,2025,2025-02-14,
La posada,Raúl Martínez,"Ana Serradilla, Martín Altomaro, Marimar Vega, Tiaré Scanda, Diana Bracho",Mexico,2023,2023-12-15,
Cuando sea joven,Raúl Martínez,"Verónica Castro, Natasha Dupeyrón, Michael Ronda, Manuel 'Flaco' Ibáñez, Eduardo Santamarina","Mexico, United States of America",2022,2022-09-14,
El mesero,Raúl Martínez,"Vadhir Derbez, Bárbara López, Arturo Barba, Emiliano Zurita, Ignacia Allamand",Mexico,2021,2021-07-15,
Superboys of Malegaon,Reema Kagti,"Adarsh Gourav, Shashank Arora, Vineet Kumar Singh, Anuj Singh Duhan, Saqib Ayub",India,2025,2025-02-28,
Talaash,Reema Kagti,"Aamir Khan, Kareena Kapoor Khan, Rani Mukerji, Nawazuddin Siddiqui, Rajkummar Rao",India,2012,2012-11-30,
The Strangers: Chapter 2,Renny Harlin,"Madelaine Petsch, Richard Brake, Rachel Shenton, Brooke Lena Johnson, Froy Gutierrez","Slovakia, Spain, United Kingdom, United States of America",2025,2025-05-01,
The Strangers: Chapter 1,Renny Harlin,"Madelaine Petsch, Froy Gutierrez, Gabriel Basso, Ema Horvath, Richard Brake","Slovakia, Spain, United Kingdom, United States of America",2024,2024-05-15,
The Bricklayer,Renny Harlin,"Aaron Eckhart, Nina Dobrev, Clifton Collins Jr., Tim Blake Nelson, Ilfenesh Hadera",United States of America,2023,2023-12-14,
The Misfits,Renny Harlin,"Pierce Brosnan, Tim Roth, Nick Cannon, Rami Jaber, Jamie Chung","Finland, United Arab Emirates, United States of America",2021,2021-06-03,
Skiptrace,Renny Harlin,"Jackie Chan, Johnny Knoxville, Fan Bingbing, Eric Tsang Chi-Wai, Eve Torres","China, Hong Kong, United States of America",2016,2016-07-21,
The Legend of Hercules,Renny Harlin,"Kellan Lutz, Liam McIntyre, Gaia Weiss, Scott Adkins, Roxanne McKee","Bulgaria, United States of America",2014,2014-01-10,
The Dyatlov Pass Incident,Renny Harlin,"Holly Goss, Matt Stokoe, Luke Albright, Ryan Hawley, Gemma Atkinson","United Kingdom, United States of America, Russia",2013,2013-02-27,
5 Days of War,Renny Harlin,"Rupert Friend, Val Kilmer, Andy García, Dean Cain, Emmanuelle Chriqui",United States of America,2011,2011-06-06,
Blue Moon,Richard Linklater,"Ethan Hawke, Margaret Qualley, Bobby Cannavale, Andrew Scott, Jonah Lees","Ireland, United States of America",2025,2025-02-18,
Hit Man,Richard Linklater,"Glen Powell, Adria Arjona, Austin Amelio, Retta, Sanjay Rao",United States of America,2024,2024-05-16,
Apollo 10½: A Space Age Childhood,Richard Linklater,"Milo Coy, Jack Black, Lee Eddy, Bill Wise, Natalie L'Amoreaux","Netherlands, United States of America",2022,2022-03-24,
"Where'd You Go, Bernadette",Richard Linklater,"Cate Blanchett, Billy Crudup, Kristen Wiig, Judy Greer, Laurence Fishburne",United States of America,2019,2019-08-16,
Last Flag Flying,Richard Linklater,"Steve Carell, Bryan Cranston, Laurence Fishburne, J. Quinton Johnson, Deanna Reed-Foster",United States of America,2017,2017-11-03,
Everybody Wants Some!!,Richard Linklater,"Blake Jenner, Zoey Deutch, Ryan Guzman, Tyler Hoechlin, J. Quinton Johnson",United States of America,2016,2016-03-30,
Boyhood,Richard Linklater,"Ellar Coltrane, Patricia Arquette, Ethan Hawke, Lorelei Linklater, Libby Villari",United States of America,2014,2014-06-05,
Before Midnight,Richard Linklater,"Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick, Jennifer Prior, Charlotte Prior","Greece, United States of America",2013,2013-04-05,
Bernie,Richard Linklater,"Jack Black, Shirley MacLaine, Matthew McConaughey, Brady Coleman, Richard Robichaux",United States of America,2012,2012-04-27,
Dhoom Dhaam,Rishab Seth,"Yami Gautam, Pratik Gandhi, Eijaz Khan, Mukul Chadda, Pavitra Sarkar",India,2025,2025-02-13,
The Most Beautiful Girl in the World,Robert Ronny,"Reza Rahadian, Sheila Dara, Kevin Julio, Indra Birowo, Jihane Almira",Indonesia,2025,2025-02-13,
With You in the Future,Roberto Girault,"Sandra Echeverría, Michel Brown, Mariané Cartas, Fernando Cattori, Mauricio Barrientos","Mexico, United States of America",2025,2025-02-06,
Ad Vitam,Rodolphe Lauga,"Guillaume Canet, Alexis Manenti, Stéphane Caillard, Nassim Lyes, Zita Hanrot",France,2025,2025-01-09,
Las Ilusyunadas,Roman Perez Jr.,"Jenn Rosa, Angeline Aril, JD Aguas, JC Tan",Philippines,2025,2025-01-10,
First Taste,Roman Perez Jr.,"Angeli Khang, Robb Guinto, Matthew Francisco, Susan Africa, Audrey Avila",Philippines,2024,2024-07-07,
Boy Kaldag,Roman Perez Jr.,"Benz Sangalang, Dyessa Garcia, Ayanna Misola, Aiko Garcia, Azi Acosta",Philippines,2024,2024-12-27,
Litsoneras,Roman Perez Jr.,"Yen Renee Durano, Jamilla Obispo, VR Relosa, Joko Diaz, Aerol Carmelo",Philippines,2023,2023-07-28,
Salakab,Roman Perez Jr.,"Angeli Khang, Benz Sangalang, Sahara Bernales, Horace Mendoza, Gilleth Sandico",Philippines,2023,2023-11-17,
Kamadora,Roman Perez Jr.,"Tiffany Grey, VR Relosa, Armina Alegre, Itan Magnaye, Junjun Quintana",Philippines,2023,2023-08-11,
Siklo,Roman Perez Jr.,"Vince Rillon, Christine Bermas, Joko Diaz, Alma Moreno, Robb Guinto",Philippines,2022,2022-01-07,
Ang Babaeng Nawawala sa Sarili,Roman Perez Jr.,"Ayanna Misola, Diego Loyzaga, Allan Paule, Ava Mendez, Adrian Alandy",Philippines,2022,2022-07-15,
The Housemaid,Roman Perez Jr.,"Kylie Verzosa, Jaclyn Jose, Alma Moreno, Albert Martinez, Louise delos Reyes",Philippines,2021,2021-09-10,
Eden,Ron Howard,"Jude Law, Vanessa Kirby, Daniel Brühl, Sydney Sweeney, Ana de Armas",United States of America,2025,2025-04-03,
Jim Henson Idea Man,Ron Howard,"Jim Henson, Frank Oz, Dave Goelz, Fran Brill, Rita Moreno",United States of America,2024,2024-05-18,
Thirteen Lives,Ron Howard,"Viggo Mortensen, Colin Farrell, Joel Edgerton, Tom Bateman, Paul Gleeson","United Kingdom, United States of America",2022,2022-07-18,
Hillbilly Elegy,Ron Howard,"Amy Adams, Glenn Close, Gabriel Basso, Haley Bennett, Freida Pinto",United States of America,2020,2020-11-09,
Solo: A Star Wars Story,Ron Howard,"Alden Ehrenreich, Joonas Suotamo, Woody Harrelson, Emilia Clarke, Donald Glover",United States of America,2018,2018-05-15,
Inferno,Ron Howard,"Tom Hanks, Felicity Jones, Omar Sy, Irrfan Khan, Sidse Babett Knudsen",United States of America,2016,2016-10-13,
The Beatles: Eight Days a Week - The Touring Years,Ron Howard,"Paul McCartney, Ringo Starr, John Lennon, George Harrison, Larry Kane","United Kingdom, United States of America",2016,2016-09-15,
In the Heart of the Sea,Ron Howard,"Chris Hemsworth, Benjamin Walker, Cillian Murphy, Brendan Gleeson, Ben Whishaw","Spain, United States of America",2015,2015-12-03,
Rush,Ron Howard,"Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino","United Kingdom, United States of America",2013,2013-09-02,
The Dilemma,Ron Howard,"Vince Vaughn, Kevin James, Winona Ryder, Jennifer Connelly, Queen Latifah",United States of America,2011,2011-01-13,
Rosebud Baker: The Mother Lode,Rosebud Baker,Rosebud Baker,,2025,2025-02-18,
Deva,Rosshan Andrrews,"Shahid Kapoor, Pooja Hegde, Pavail Gulati, Pravessh Rana, Girish Kulkarni",India,2025,2025-01-31,
They made you into a weapon and told you to find peace,Roxana Stroe,"Cameron Bell, Olive Walter, Joanna Croll, Cristian Bota, Vjosa Azemi",United Kingdom,2025,2025-03-03,
Now You See Me 3,Ruben Fleischer,"Jesse Eisenberg, Woody Harrelson, Isla Fisher, Dave Franco, Mark Ruffalo",United States of America,2025,2025-11-12,
Uncharted,Ruben Fleischer,"Tom Holland, Mark Wahlberg, Sophia Ali, Tati Gabrielle, Antonio Banderas",United States of America,2022,2022-02-10,
Zombieland: Double Tap,Ruben Fleischer,"Woody Harrelson, Jesse Eisenberg, Emma Stone, Abigail Breslin, Zoey Deutch",United States of America,2019,2019-10-09,
Venom,Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze, Reid Scott","China, United States of America",2018,2018-09-28,
Gangster Squad,Ruben Fleischer,"Josh Brolin, Ryan Gosling, Sean Penn, Nick Nolte, Emma Stone",United States of America,2013,2013-01-09,
30 Minutes or Less,Ruben Fleischer,"Jesse Eisenberg, Aziz Ansari, Danny McBride, Nick Swardson, Dilshad Vadsaria",United States of America,2011,2011-08-11,
Sinners,Ryan Coogler,"Michael B. Jordan, Hailee Steinfeld, Jack O'Connell, Wunmi Mosaku, Jayme Lawson",United States of America,2025,2025-04-16,
Black Panther: Wakanda Forever,Ryan Coogler,"Letitia Wright, Tenoch Huerta Mejía, Lupita Nyong'o, Danai Gurira, Winston Duke",United States of America,2022,2022-11-09,
Black Panther,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman",United States of America,2018,2018-02-13,
Creed,Ryan Coogler,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashād, Andre Ward",United States of America,2015,2015-11-25,
Fruitvale Station,Ryan Coogler,"Michael B. Jordan, Melonie Diaz, Octavia Spencer, Kevin Durand, Chad Michael Murray",United States of America,2013,2013-07-26,
Peter Pan's Neverland Nightmare,Scott Chambers,"Martin Portlock, Megan Placito, Peter DeSouza-Feighoney, Charity Kase, Teresa Banham",United Kingdom,2025,2025-01-13,
Dragon Fury,Scott Chambers,"Nicola Wright, Chelsea Greenwood, Chrissie Wunna, Sofia Lacey, Rachel Rye",United Kingdom,2021,2021-06-15,
Demon City,Seiji Tanaka,"Toma Ikuta, Masahiro Higashide, Miou Tanaka, Ami Touma, Taro Suruga",Japan,2025,2025-02-26,
Back in Action,Seth Gordon,"Jamie Foxx, Cameron Diaz, McKenna Roberts, Rylan Jackson, Kyle Chandler",United States of America,2025,2025-01-15,
Baywatch,Seth Gordon,"Dwayne Johnson, Zac Efron, Priyanka Chopra Jonas, Alexandra Daddario, Kelly Rohrbach",United States of America,2017,2017-05-25,
Identity Thief,Seth Gordon,"Jason Bateman, Melissa McCarthy, Jon Favreau, Amanda Peet, T.I.",United States of America,2013,2013-02-07,
Horrible Bosses,Seth Gordon,"Jason Bateman, Charlie Day, Jason Sudeikis, Kevin Spacey, Jennifer Aniston",United States of America,2011,2011-07-08,
Downton Abbey 3,Simon Curtis,"Hugh Bonneville, Laura Carmichael, Phyllis Logan, Robert James-Collier, Jim Carter","United Kingdom, United States of America",2025,2025-09-10,
Downton Abbey: A New Era,Simon Curtis,"Hugh Bonneville, Maggie Smith, Jim Carter, Michelle Dockery, Elizabeth McGovern",United Kingdom,2022,2022-04-27,
The Art of Racing in the Rain,Simon Curtis,"Kevin Costner, Milo Ventimiglia, Jackie Minns, Marcus Hondro, Ian Lake",United States of America,2019,2019-08-08,
Goodbye Christopher Robin,Simon Curtis,"Domhnall Gleeson, Will Tilston, Alex Lawther, Margot Robbie, Kelly Macdonald","United Kingdom, United States of America",2017,2017-09-29,
Woman in Gold,Simon Curtis,"Helen Mirren, Ryan Reynolds, Tatiana Maslany, Katie Holmes, Max Irons",United Kingdom,2015,2015-03-20,
My Week with Marilyn,Simon Curtis,"Michelle Williams, Kenneth Branagh, Eddie Redmayne, Dominic Cooper, Philip Jackson","United Kingdom, United States of America",2011,2011-11-23,
Mortal Kombat II,Simon McQuoid,"Karl Urban, Adeline Rudolph, Jessica McNamee, Josh Lawson, Ludi Lin",United States of America,2025,2025-10-22,
Mortal Kombat,Simon McQuoid,"Lewis Tan, Jessica McNamee, Mehcad Brooks, Josh Lawson, Ludi Lin",United States of America,2021,2021-04-07,
Painkili,Sreejith Babu,"Sajin Gopu, Anaswara Rajan, Jisma Jiji, Roshan Shanavas, Chandu Salimkumar",India,2025,2025-02-14,
Love Forever,Staffan Lindberg,"Matilda Källström, Charlie Gustafsson, Kjell Bergqvist, Anja Lundqvist, Claes Malmberg",Sweden,2025,2025-02-13,
Valiant One,Steve Barnett,"Chase Stokes, Lana Condor, Desmin Borges, Callan Mulvey, Diana Tsoy","United States of America, Canada",2025,2025-01-30,
The Bayou,"Taneli Mustonen, Brad Watson","Elisha Applebaum, Madalena Aragão, David Newman, Sarah Priddy, Andonis Anthony",United Kingdom,2025,2025-01-31,
Uncredited: The Story of Passinho,"Thatiane Almeida, Fred Ouro Preto",,Brazil,2025,2025-02-20,
The Damned,Thordur Palsson,"Odessa Young, Joe Cole, Siobhan Finneran, Rory McCann, Turlough Convery","Ireland, United Kingdom, United States of America, Iceland, Belgium",2025,2025-01-03,
Nobody 2,Timo Tjahjanto,"Bob Odenkirk, Connie Nielsen, Sharon Stone, Christopher Lloyd, Colin Hanks",United States of America,2025,2025-08-13,
The Shadow Strays,Timo Tjahjanto,"Aurora Ribero, Hana Malasan, Andri Mashadi, Adipati Dolken, Kristo Immanuel","Indonesia, United States of America",2024,2024-09-10,
The Big 4,Timo Tjahjanto,"Abimana Aryasatya, Putri Marino, Lutesha, Arie Kriting, Kristo Immanuel",Indonesia,2022,2022-12-19,
May the Devil Take You Too,Timo Tjahjanto,"Chelsea Islan, Widika Sidmore, Hadijah Shahab, Baskara Mahendra, Shareefa Daanish",Indonesia,2020,2020-02-27,
The Night Comes for Us,Timo Tjahjanto,"Joe Taslim, Iko Uwais, Julie Estelle, Sunny Pang, Asha Kenyeri Bermudez","Indonesia, United States of America",2018,2018-10-05,
May the Devil Take You,Timo Tjahjanto,"Chelsea Islan, Pevita Pearce, Karina Suwandi, Ray Sahetapy, Ruth Marini",Indonesia,2018,2018-08-09,
Anaconda,Tom Gormican,"Jack Black, Paul Rudd, Daniela Melchior, Thandiwe Newton, Steve Zahn",United States of America,2025,2025-12-25,
The Unbearable Weight of Massive Talent,Tom Gormican,"Nicolas Cage, Pedro Pascal, Sharon Horgan, Ike Barinholtz, Alessandra Mastronardi",United States of America,2022,2022-04-20,
That Awkward Moment,Tom Gormican,"Zac Efron, Miles Teller, Michael B. Jordan, Imogen Poots, Mackenzie Davis",United States of America,2014,2014-01-29,
Spermageddon,"Tommy Wirkola, Rasmus A. Sivertsen","Christian Mikkelsen, Nasrin Khusrawi, Aksel Hennie, Mathilde Storm, Christian Rubeck",Norway,2025,2025-02-21,
Hurry Up Tomorrow,Trey Edward Shults,"The Weeknd, Jenna Ortega, Barry Keoghan, Gabby Barrett, Charli D'Amelio",United States of America,2025,2025-05-15,
Waves,Trey Edward Shults,"Kelvin Harrison, Jr., Taylor Russell, Renée Elise Goldsberry, Sterling K. Brown, Lucas Hedges","Canada, United States of America",2019,2019-11-15,
It Comes at Night,Trey Edward Shults,"Joel Edgerton, Christopher Abbott, Carmen Ejogo, Riley Keough, Kelvin Harrison, Jr.",United States of America,2017,2017-06-09,
Whitney Springs,Trey Parker,"Chloe East, Kendrick Lamar, Celeste Octavia, Robyn Duse, Hal Dion",United States of America,2025,2025-07-04,
South Park: The End of Obesity,Trey Parker,"Trey Parker, Matt Stone, April Stewart, Mona Marshall, Kimberly Brooks",United States of America,2024,2024-05-24,
South Park: Joining the Panderverse,Trey Parker,"Trey Parker, Matt Stone, Janeshia Adams-Ginyard, Montana Jacobowitz, April Stewart",United States of America,2023,2023-10-28,
South Park (Not Suitable for Children),Trey Parker,"Trey Parker, Matt Stone, April Stewart, Kimberly Brooks, Jessica Makinson",United States of America,2023,2023-12-20,
South Park the Streaming Wars,Trey Parker,"Trey Parker, Matt Stone, April Stewart, Kimberly Brooks, Adrien Beard",United States of America,2022,2022-06-01,
South Park the Streaming Wars Part 2,Trey Parker,"Trey Parker, Matt Stone, April Stewart, Kimberly Brooks, Adrien Beard",United States of America,2022,2022-07-13,
South Park: Post COVID,Trey Parker,"Trey Parker, Matt Stone, April Stewart, Mona Marshall, Kimberly Brooks",United States of America,2021,2021-11-25,
South Park: Post COVID: The Return of COVID,Trey Parker,"Trey Parker, Matt Stone, April Stewart, Kimberly Brooks, Mona Marshall",United States of America,2021,2021-12-16,
Andrew Schulz: LIFE,Troy Miller,Andrew Schulz,,2025,2025-03-04,
Katt Williams: Woke Foke,Troy Miller,Katt Williams,,2024,2024-05-04,
Legends of the Condor Heroes: The Gallants,Tsui Hark,"Xiao Zhan, Sabrina Zhuang, Tony Leung Ka-Fai, Zhang Wenxin, Bayaertu",China,2025,2025-01-29,
Detective Dee: The Four Heavenly Kings,Tsui Hark,"Mark Chao, William Feng, Carina Lau Kar-Ling, Lin Gengxin, Ma Sichun","China, Hong Kong",2018,2018-07-27,
Journey to the West: The Demons Strike Back,Tsui Hark,"Kris Wu, Lin Gengxin, Yao Chen, Lin Yun, Yang Yiwei","China, Hong Kong",2017,2017-01-28,
The Taking of Tiger Mountain,Tsui Hark,"Zhang Hanyu, Tony Leung Ka-Fai, Tong Liya, Lin Gengxin, Yu Nan","China, Hong Kong",2014,2014-12-24,
Young Detective Dee: Rise of the Sea Dragon,Tsui Hark,"Mark Chao, AngelaBaby, William Feng, Ian Kim Beom, Carina Lau Kar-Ling","China, Hong Kong",2013,2013-09-27,
Flying Swords of Dragon Gate,Tsui Hark,"Jet Li, Zhou Xun, Chen Kun, Gwei Lun-Mei, Chris Lee Yuchun","China, Hong Kong",2011,2011-12-15,
Detective Dee and the Mystery of the Phantom Flame,Tsui Hark,"Andy Lau Tak-Wah, Li Bingbing, Deng Chao, Tony Leung Ka-Fai, Carina Lau Kar-Ling","China, Hong Kong",2010,2010-09-18,
Tyler Perry's Duplicity,Tyler Perry,"Kat Graham, Meagan Tandy, RonReaco Lee, Tyler Lepley, Jimi Stanton",United States of America,2025,2025-02-20,
The Six Triple Eight,Tyler Perry,"Kerry Washington, Sam Waterston, Susan Sarandon, Oprah Winfrey, Ebony Obsidian",United States of America,2024,2024-12-06,
Tyler Perry's Divorce in the Black,Tyler Perry,"Meagan Good, Cory Hardrict, Joseph Lee Anderson, Taylor Polidore, Shannon Wallace",United States of America,2024,2024-07-11,
Mea Culpa,Tyler Perry,"Kelly Rowland, Trevante Rhodes, Sean Sagar, Nick Sagar, RonReaco Lee",United States of America,2024,2024-02-22,
Tyler Perry's A Madea Homecoming,Tyler Perry,"Tyler Perry, Cassi Davis, David Mann, Tamela Mann, Brendan O'Carroll",United States of America,2022,2022-02-25,
A Jazzman's Blues,Tyler Perry,"Joshua Boone, Amirah Vann, Solea Pfeiffer, Ryan Eggold, Austin Scott",United States of America,2022,2022-09-16,
A Fall from Grace,Tyler Perry,"Crystal R. Fox, Phylicia Rashād, Bresha Webb, Mehcad Brooks, Cicely Tyson",United States of America,2020,2020-01-17,
A Madea Family Funeral,Tyler Perry,"Cassi Davis, Patrice Lovely, Tyler Perry, Jen Harper, Derek Morgan",United States of America,2019,2019-03-01,
Acrimony,Tyler Perry,"Taraji P. Henson, Lyriq Bent, Crystle Stewart, Danielle Nicolet, Ptosha Storey",United States of America,2018,2018-03-30,
Nobody's Fool,Tyler Perry,"Tiffany Haddish, Tika Sumpter, Omari Hardwick, Amber Riley, Whoopi Goldberg",United States of America,2018,2018-10-31,
Boo 2! A Madea Halloween,Tyler Perry,"Tyler Perry, Cassi Davis, Patrice Lovely, Diamond White, Yousef Erakat",United States of America,2017,2017-10-20,
Boo! A Madea Halloween,Tyler Perry,"Tyler Perry, Cassi Davis, Diamond White, Yousef Erakat, Bella Thorne",United States of America,2016,2016-10-21,
The Single Moms Club,Tyler Perry,"Nia Long, Amy Smart, Wendi McLendon-Covey, Cocoa Brown, Zulay Henao",United States of America,2014,2014-03-14,
Temptation: Confessions of a Marriage Counselor,Tyler Perry,"Jurnee Smollett, Lance Gross, Robbie Jones, Brandy Norwood, Kim Kardashian",United States of America,2013,2013-03-29,
A Madea Christmas,Tyler Perry,"Tyler Perry, Anna Maria Horsford, Tika Sumpter, Eric Lively, Kathy Najimy",United States of America,2013,2013-12-13,
Madea's Witness Protection,Tyler Perry,"Tyler Perry, Eugene Levy, Denise Richards, Romeo, Doris Roberts",United States of America,2012,2012-06-29,
Good Deeds,Tyler Perry,"Tyler Perry, Thandiwe Newton, Gabrielle Union, Brian J. White, Phylicia Rashād",United States of America,2012,2012-02-23,
Madea's Big Happy Family,Tyler Perry,"Tyler Perry, Loretta Devine, Shad Moss, Cassi Davis, Shannon Kane",United States of America,2011,2011-04-22,
Why Did I Get Married Too?,Tyler Perry,"Tyler Perry, Janet Jackson, Jill Scott, Sharon Leal, Malik Yoba",United States of America,2010,2010-04-02,
For Colored Girls,Tyler Perry,"Kimberly Elise, Janet Jackson, Loretta Devine, Thandiwe Newton, Anika Noni Rose",United States of America,2010,2010-11-05,
Kinda Pregnant,Tyler Spindel,"Amy Schumer, Jillian Bell, Brianne Howey, Will Forte, Lizze Broadway",United States of America,2025,2025-02-04,
The Out-Laws,Tyler Spindel,"Adam Devine, Nina Dobrev, Pierce Brosnan, Ellen Barkin, Julie Hagerty",United States of America,2023,2023-07-07,
The Wrong Missy,Tyler Spindel,"David Spade, Lauren Lapkus, Nick Swardson, Geoff Pierson, Jackie Sandler",United States of America,2020,2020-05-13,
Father of the Year,Tyler Spindel,"David Spade, Nat Faxon, Joey Bragg, Matt Shively, Bridgit Mendler",United States of America,2018,2018-07-20,
The Love Scam,Umberto Riccioni Carteni,"Antonio Folletto, Laura Adriani, Vincenzo Nemolato, Saverio Picozzi",Italy,2025,2025-01-01,
Neel Shukh,Vicky Zahed,"Mehazabien Chowdhury, Farrukh Ahmed Rehan, Golam Farida Chhonda, Reshma Ahmed, Mukul Siraj",Bangladesh,2025,2025-02-18,
The Phoenician Scheme,Wes Anderson,"Benicio del Toro, Mia Threapleton, Michael Cera, Bryan Cranston, Scarlett Johansson",United States of America,2025,2025-05-28,
Asteroid City,Wes Anderson,"Jason Schwartzman, Scarlett Johansson, Tom Hanks, Jeffrey Wright, Tilda Swinton",United States of America,2023,2023-06-08,
The Wonderful Story of Henry Sugar,Wes Anderson,"Ralph Fiennes, Benedict Cumberbatch, Dev Patel, Ben Kingsley, Richard Ayoade",United States of America,2023,2023-09-20,
Poison,Wes Anderson,"Benedict Cumberbatch, Dev Patel, Ben Kingsley, Ralph Fiennes, Eliel Ford",United States of America,2023,2023-09-29,
The Rat Catcher,Wes Anderson,"Richard Ayoade, Ralph Fiennes, Rupert Friend, Eliel Ford, Benoît Herlin",United States of America,2023,2023-09-28,
The Swan,Wes Anderson,"Rupert Friend, Ralph Fiennes, Asa Jennings, Eliel Ford, Truman Hanks",United States of America,2023,2023-09-27,
The French Dispatch,Wes Anderson,"Benicio del Toro, Adrien Brody, Tilda Swinton, Léa Seydoux, Frances McDormand",United States of America,2021,2021-10-21,
Isle of Dogs,Wes Anderson,"Bryan Cranston, Koyu Rankin, Bob Balaban, Edward Norton, Bill Murray","Germany, United States of America",2018,2018-03-23,
The Grand Budapest Hotel,Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody, Willem Dafoe","Germany, United States of America",2014,2014-02-26,
Castello Cavalcanti,Wes Anderson,"Jason Schwartzman, Giada Colagrande, Giorgio Zancolla, Paolo Coluccio, Silvano Broglia","Italy, United States of America",2013,2013-11-12,
Moonrise Kingdom,Wes Anderson,"Jared Gilman, Kara Hayward, Bruce Willis, Edward Norton, Bill Murray",United States of America,2012,2012-05-16,
Popeye's Revenge,William Stead,"Emily Mogilner, Connor Powles, Danielle Ronald, Danielle Scott, Kelly Rian Sanson",United Kingdom,2025,2025-02-13,
Patio Cigarette,Win Marks,"Bella Marino, Josèa Stanford",,2025,2025-03-03,
Creation of the Gods II: Demon Force,Wuershan,"Huang Bo, Yu Shi, Nashi, Chen Muchi, Kris Phillips",China,2025,2025-01-29,
Creation of the Gods I: Kingdom of Storms,Wuershan,"Kris Phillips, Li Xuejian, Huang Bo, Yu Shi, Chen Muchi",China,2023,2023-07-15,
Mojin: The Lost Legend,Wuershan,"Chen Kun, Huang Bo, Shu Qi, AngelaBaby, Yu Xia",China,2015,2015-12-18,
Painted Skin: The Resurrection,Wuershan,"Zhou Xun, Chen Kun, Zhao Wei, Yang Mi, William Feng",China,2012,2012-06-28,
"The Butcher, the Chef, and the Swordsman",Wuershan,"Masanobu Ando, Kitty Zhang Yuqi, Liu Xiao-Ye, Han Pengyi, Dong Li-Fan","China, Hong Kong, United States of America",2011,2011-03-17,
Ne Zha 2,Yang Yu,"Lü Yanting, Joseph, Han Mo, Chen Hao, Lü Qi",China,2025,2025-01-29,
Ne Zha,Yang Yu,"Lü Yanting, Joseph, Han Mo, Chen Hao, Lü Qi",China,2019,2019-07-26,
Bugonia,Yorgos Lanthimos,"Jesse Plemons, Emma Stone, Alicia Silverstone, Stavros Halkias, Ash Smith","Ireland, South Korea, United Kingdom, United States of America",2025,2025-11-05,
Kinds of Kindness,Yorgos Lanthimos,"Emma Stone, Jesse Plemons, Willem Dafoe, Margaret Qualley, Hong Chau","Ireland, United Kingdom, United States of America",2024,2024-05-30,
Poor Things,Yorgos Lanthimos,"Emma Stone, Mark Ruffalo, Willem Dafoe, Ramy Youssef, Christopher Abbott","Ireland, United Kingdom, United States of America",2023,2023-12-07,
Nimic,Yorgos Lanthimos,"Matt Dillon, Daphné Patakia, Susan Elle, Sara Lee, Eugena Lee","Germany, United Kingdom, United States of America",2020,2020-01-30,
The Favourite,Yorgos Lanthimos,"Emma Stone, Olivia Colman, Rachel Weisz, Nicholas Hoult, Joe Alwyn","Ireland, United Kingdom, United States of America",2018,2018-11-23,
The Killing of a Sacred Deer,Yorgos Lanthimos,"Colin Farrell, Nicole Kidman, Barry Keoghan, Raffey Cassidy, Sunny Suljic","United Kingdom, United States of America, Ireland",2017,2017-10-20,
The Lobster,Yorgos Lanthimos,"Colin Farrell, Rachel Weisz, Olivia Colman, Léa Seydoux, Michael Smiley","France, Greece, Ireland, Netherlands, United Kingdom",2015,2015-10-15,
Alps,Yorgos Lanthimos,"Angeliki Papoulia, Aris Servetalis, Johnny Vekris, Ariane Labed, Stavros Psyllakis","Canada, France, Greece, United States of America",2011,2011-09-01,
